2

_id

_id,store,note,validfrom,expiry,balance,balancetype,cardid,barcodeid,barcodetype,headercolor,starstatus,lastused,archive
1,Phone-Xiaomi,Smartphone loyalty program,1857254400000,1890432000000,280,USD,6666-7777-8888-9999,6666777788889999,CODE_128,-9977996,0,1764218937,0
2,Food-Starbucks,Coffee shop rewards card,1857254400000,1890432000000,45,USD,1111-2222-3333-4444,1111222233334444,CODE_128,-5414233,0,1764218937,0
3,Office-FedEx,Shipping services membership,1857254400000,1890432000000,120,USD,7890-8901-9012-0123,7890890190120123,CODE_128,-5414233,0,1764218937,0
4,Drink-Gatorade,Sports drink rewards,1857254400000,1890432000000,18,USD,1234-2345-3456-4567,1234234534564567,CODE_128,-14642227,0,1764218937,0
5,Sport-REI,Outdoor sports co-op,1857254400000,1890432000000,115,USD,9012-1234-3456-5678,9012123445675678,CODE_128,-5414233,0,1764218937,0
6,Food-TacoBell,Mexican food rewards,1857254400000,1890432000000,25,USD,2345-4567-6789-8901,2345456778908901,CODE_39,-9977996,0,1764218937,0
7,Phone-Samsung,Galaxy membership card,1857254400000,1890432000000,380,USD,4444-5555-6666-7777,4444555566667777,CODE_128,-957596,0,1764218937,0
8,Office-OfficeDepot,Workplace essentials card,1857254400000,1890432000000,72,USD,5678-6789-7890-8901,5678678978908901,CODE_39,-14642227,0,1764218937,0
9,Drink-RedBull,Energy drink membership,1857254400000,1890432000000,25,USD,0000-1111-2222-3333,0000111122223333,CODE_128,-9977996,0,1764218937,0
10,Sport-Adidas,Sports apparel loyalty card,1857254400000,1890432000000,110,USD,2345-6789-0123-4567,2345678901234567,CODE_128,-957596,0,1764218937,0
11,Food-Chipotle,Mexican grill membership,1857254400000,1890432000000,38,USD,2222-3333-4444-5555,2222333344445555,CODE_39,-9977996,0,1764218937,0
12,Phone-Verizon,Mobile carrier rewards,1857254400000,1890432000000,150,USD,3456-5678-7890-9012,3456567889019012,CODE_128,-14642227,0,1764218937,0
13,Sport-DicksSportingGoods,Sports equipment rewards,1857254400000,1890432000000,135,USD,0123-1234-2345-3456,0123123423453456,CODE_128,-957596,0,1764218937,0
14,Drink-Sprite,Lemon-lime beverage club,1857254400000,1890432000000,8,USD,5678-7890-9012-1234,5678789001231234,CODE_128,-5414233,0,1764218937,0
